10,1,1.25,3.0,10,0.25,-2.0
11,18,-1.25,3.25,11,-0.25,1.75
10,1,0.25,3.0,10,-0.75,0.0
13,19,0.0,2.25,11,0.0,-0.25
11,6,0.25,2.75,9.5,2.25,-0.75
18,16,-0.25,2.25,10,-0.25,-2.25
14,13,-0.5,2.75,10.5,1.5,-0.75
2,20,-2.5,4.0,10.5,5.5,4.0
10,15,-0.75,2.5,10.5,-2.75,-0.5
6,4,0.0,2.5,10.5,1.0,0.5
10,9,-0.25,2.75,10.5,-2.25,1.25
18,9,0.0,3.0,10.5,0.0,-3.0
20,7,0.5,3.0,10.5,0.5,1.0
16,8,0.25,2.75,10.5,2.25,1.25
19,2,2.75,4.25,10,3.75,0.75
9,4,-1.25,3.0,10.5,2.75,1.0
16,12,-0.25,2.25,10.5,-0.25,-0.25
8,3,-0.5,2.5,10.5,0.5,-1.5
10,13,0.0,2.25,10.5,-1.0,-1.25
17,11,0.25,2.5,10,-2.75,4.5
1,14,-2,3.25,10.5,0.0,0.75
7,11,0.0,3.0,10.5,0.0,1.0
12,17,-0.5,2.25,10,0.5,2.75
6,1,1.5,3.0,10,-1.5,0.0
13,9,-1.25,2.75,10.5,-1.25,1.25
13,17,-0.5,3.25,10.5,1.5,-1.25
10,16,-0.25,2.5,10.5,0.75,-1.5
2,8,-2.5,3.5,10.5,1.5,0.5
19,20,0.0,2.25,10,0.0,-0.25
4,11,-0.75,2.75,11,1.25,1.25
18,5,0.5,2.5,10,0.5,-0.5
6,19,-1.5,3.0,10.5,-2.5,-2.0
18,14,-0.75,2.25,10.5,-0.75,-0.25
8,4,2.25,3.75,10,0.25,0.25
1,2,-1.25,3.5,10.5,0.75,0.5
5,19,-0.25,2.25,10,-2.25,-0.25
8,13,0.25,2.25,10.5,-0.75,0.75
4,15,-1.5,3.0,11,-2.5,0.0
20,17,-0.25,2.75,10,-2.25,1.25
11,16,0.5,3.0,10.5,-0.5,2.0
17,9,0.25,2.5,10.5,2.25,-0.5
13,9,0.0,2.25,10,0.0,-0.25
19,12,-0.75,2.75,10.5,-0.75,-0.75
